,Region,Model,Timestamp,ValveEstimate
5468,0.0,2.0,1626460515,1.0
5478,2.0,2.0,1626455492,1.0
5490,2.0,1.0,1626456116,1.0
5492,2.0,1.0,1626455940,1.0
5499,0.0,2.0,1626460038,1.0
5502,2.0,0.0,1626457522,1.0
5504,2.0,1.0,1626455977,1.0
5522,2.0,2.0,1626455533,1.0
5525,2.0,1.0,1626455979,1.0
5526,2.0,0.0,1626458736,1.0
5529,0.0,1.0,1626462000,1.0
5535,2.0,1.0,1626456060,1.0
5536,0.0,2.0,1626460348,1.0
5546,2.0,2.0,1626455558,1.0
5547,2.0,1.0,1626455985,1.0
5554,2.0,0.0,1626457261,1.0
5569,1.0,0.0,1626461884,1.0
5580,1.0,1.0,1626455712,1.0
5584,0.0,2.0,1626459352,1.0
5587,0.0,2.0,1626459877,1.0
5596,2.0,1.0,1626456000,1.0
5601,0.0,2.0,1626460373,1.0
5618,2.0,2.0,1626455525,1.0
5626,0.0,1.0,1626462006,1.0
5632,2.0,2.0,1626455525,1.0
5634,2.0,1.0,1626456178,1.0
5636,2.0,2.0,1626455552,1.0
5645,0.0,2.0,1626458160,1.0
5659,0.0,2.0,1626459430,1.0
5681,2.0,2.0,1626455500,1.0
5689,2.0,1.0,1626455880,1.0
5691,2.0,2.0,1626455820,1.0
5704,2.0,1.0,1626455993,1.0
5710,2.0,2.0,1626455502,1.0
5713,2.0,1.0,1626455914,1.0
5750,2.0,2.0,1626455340,1.0
5765,2.0,1.0,1626466779,1.0
5768,2.0,1.0,1626456163,1.0
5779,2.0,2.0,1626466020,1.0
5780,2.0,1.0,1626466740,1.0
5790,2.0,2.0,1626455441,1.0
5791,2.0,0.0,1626457662,1.0
5808,0.0,1.0,1626462187,1.0
5817,0.0,1.0,1626459360,1.0
5833,0.0,1.0,1626461808,1.0
5843,0.0,0.0,1626519900,1.0
5845,0.0,1.0,1626463139,1.0
5878,0.0,2.0,1626463554,1.0
5889,2.0,2.0,1626456963,1.0
5919,2.0,1.0,1636572180,1.0
5928,2.0,2.0,1626455460,1.0
5935,2.0,1.0,1626456113,1.0
5936,0.0,2.0,1626459399,1.0
5946,0.0,1.0,1626467805,1.0
5950,0.0,2.0,1626464005,1.0
5957,2.0,2.0,1626455520,1.0
5979,2.0,2.0,1626461021,1.0
5985,0.0,0.0,1636572317,1.0
5995,2.0,0.0,1626457052,1.0
6002,2.0,0.0,1626457664,1.0
6010,0.0,1.0,1626465240,1.0
6023,1.0,0.0,1626460320,1.0
6035,2.0,2.0,1626455460,1.0
6037,2.0,1.0,1626455820,1.0
6051,2.0,2.0,1626455655,1.0
6058,2.0,2.0,1626455580,1.0
6073,0.0,2.0,1626463186,1.0
6095,2.0,2.0,1626498720,1.0
6096,2.0,1.0,1626455760,0.0
6097,1.0,2.0,1626455524,1.0
6118,1.0,0.0,1626464119,1.0
6125,0.0,1.0,1626463919,1.0
6144,2.0,1.0,1626455764,1.0
6172,2.0,2.0,1626455100,1.0
6173,2.0,2.0,1626455460,1.0
6234,1.0,0.0,1626462356,1.0
6236,2.0,1.0,1626456120,1.0
6237,1.0,1.0,1626455767,1.0
6238,2.0,1.0,1626456185,1.0
6239,2.0,0.0,1626458169,1.0
6241,2.0,1.0,1626456180,1.0
6243,2.0,1.0,1626456157,1.0
6244,2.0,1.0,1626456196,1.0
6245,2.0,2.0,1626455611,1.0
6247,0.0,1.0,1626463908,1.0
6248,0.0,1.0,1626464020,1.0
6249,0.0,0.0,1626522051,1.0
6251,2.0,1.0,1626456186,1.0
6253,2.0,2.0,1626455615,1.0
6257,2.0,2.0,1626455492,1.0
6258,2.0,0.0,1626458335,1.0
6259,2.0,1.0,1626456335,1.0
6261,2.0,1.0,1626456303,1.0
6263,2.0,2.0,1626455615,1.0
6267,1.0,2.0,1626455471,1.0
6269,0.0,2.0,1626462395,1.0
6271,0.0,2.0,1626462816,1.0
6275,2.0,2.0,1626455623,1.0
6278,0.0,2.0,1626462088,1.0
6289,2.0,1.0,1626456188,1.0
6294,0.0,0.0,1626550860,1.0
6295,2.0,0.0,1626458398,1.0
6298,2.0,1.0,1626455940,1.0
6299,2.0,2.0,1626455587,1.0
6301,2.0,0.0,1626457833,1.0
6314,2.0,2.0,1626455591,1.0
6315,2.0,2.0,1626455539,1.0
6324,2.0,0.0,1626457806,1.0
6337,2.0,2.0,1626455593,1.0
6338,2.0,2.0,1626455580,1.0
6339,2.0,0.0,1626457860,1.0
6346,2.0,1.0,1626456360,1.0
6350,2.0,2.0,1626455590,1.0
6356,0.0,2.0,1626462780,1.0
6361,2.0,2.0,1626455596,1.0
6365,0.0,1.0,1626463920,1.0
6370,2.0,2.0,1626455598,1.0
6377,2.0,1.0,1626456320,1.0
6388,0.0,2.0,1626468715,1.0
6389,2.0,2.0,1626455520,1.0
6401,0.0,2.0,1626460595,1.0
6402,0.0,2.0,1626468621,1.0
6409,0.0,2.0,1626461040,1.0
6410,2.0,2.0,1626455600,1.0
6415,0.0,1.0,1626463860,1.0
6417,0.0,2.0,1626463996,1.0
6420,0.0,1.0,1626463860,1.0
6426,0.0,2.0,1626467760,1.0
6449,0.0,1.0,1626464124,1.0
6464,1.0,1.0,1626455700,1.0
6524,0.0,2.0,1626462373,1.0
6535,2.0,1.0,1626455920,1.0
6576,0.0,0.0,1626454969,1.0
6597,2.0,1.0,1626455882,1.0
6615,0.0,2.0,1626461442,1.0
6645,2.0,1.0,1626456142,1.0
6670,1.0,2.0,1626458820,1.0
6715,0.0,2.0,1626458400,1.0
6739,0.0,2.0,1626462912,1.0
6747,0.0,1.0,1626465074,1.0
6753,2.0,2.0,1626455596,1.0
6771,2.0,0.0,1626459090,1.0
6773,2.0,1.0,1626456330,1.0
6780,2.0,1.0,1626456494,1.0
6783,2.0,1.0,1626456336,1.0
6784,2.0,1.0,1626456571,1.0
6785,2.0,1.0,1626456465,1.0
6787,1.0,1.0,1626455886,1.0
6791,2.0,1.0,1626456480,1.0
6792,2.0,1.0,1626456480,1.0
6793,2.0,2.0,1626455580,1.0
6794,2.0,2.0,1626455626,1.0
6804,1.0,2.0,1626455532,1.0
6810,0.0,1.0,1626465257,1.0
6813,2.0,2.0,1626455661,1.0
6823,2.0,2.0,1626455627,1.0
6852,0.0,1.0,1626464976,1.0
6857,2.0,2.0,1626455624,1.0
6861,0.0,2.0,1626463111,1.0
6863,0.0,2.0,1626463860,1.0
6864,0.0,2.0,1626463175,1.0
6865,0.0,2.0,1626463490,1.0
6869,2.0,1.0,1626456336,1.0
6870,2.0,1.0,1626456345,1.0
6874,0.0,2.0,1626463518,1.0
6881,2.0,1.0,1626456341,1.0
6888,0.0,2.0,1626462900,1.0
6895,2.0,2.0,1626455587,1.0
6899,0.0,1.0,1626465760,1.0
6902,2.0,1.0,1626456349,1.0
6906,2.0,1.0,1626456569,1.0
6913,2.0,2.0,1626455621,1.0
6916,0.0,1.0,1626464817,1.0
6917,0.0,2.0,1626464073,1.0
6925,0.0,2.0,1626463099,1.0
6926,2.0,1.0,1626456348,1.0
6928,0.0,1.0,1626455640,1.0
6929,2.0,2.0,1626455665,1.0
6982,1.0,1.0,1626455878,1.0
6993,2.0,2.0,1626455582,1.0
7085,2.0,2.0,1626455520,1.0
7088,2.0,0.0,1626456300,1.0
7103,2.0,2.0,1626455580,1.0
7129,1.0,2.0,1626459133,1.0
7131,1.0,2.0,1626455540,1.0
7138,1.0,1.0,1626455892,1.0
7150,0.0,2.0,1626470880,1.0
7160,0.0,2.0,1626463504,1.0
7166,0.0,2.0,1626466560,1.0
7262,2.0,2.0,1626455220,0.0
7380,2.0,1.0,1626456480,1.0
